ID;Количество комнат;Новостройка/вторичка;Метро;Время до метро;Способ;Адрес;Площадь, м2;Этаж;Этажей;Тип дома;Цена (руб);Описание;Окна;Санузел;Год постройки;Балкон;Лифт;Ссылка на объявление
151730016;1;новостройка;м.Пятницкоешоссе;30;транспортом;Москва, Зеленоград, Заречная улица, 23;25.1;11;18;Монолитный;2510000;Новостройка Продается 1комн. квра площадью 25,1 кв.м, Корпус 8, Секция 3  11 этаж 18этажного дома в Мкрн Жемчужина Зеленограда от ГК ПИК. Микрорайон Жемчужина Зеленограда  новый масштабный проект комплексной застройки на территории микрорайона 17. Зеленоградский административный округ  один из самых экологически чистых районов столицы общая площадь зеленых насаждений здесь составляет около 30. Рядом расположены два крупных лесничества  Крюковское и Сходненское, поэтому с юга и запада новый микрорайон окружен лесопарковой зоной, на его территории находятся три небольших пруда. Кроме того, Зеленоград называют Русской Кремниевой долиной  как научнопроизводственный центр российской электроники и микроэлектроники. Жемчужина Зеленограда возводится по новейшей концепции организации жилого пространства  она подразумевает не только строительство жилья повышенной комфортности с развитой инфраструктурой для учебы и отдыха, но и обеспечение жителей максимальным количеством рабочих мес ..., 9 фото;16.36;Во двор;Совмещенный (1);2018;да;;https://www.cian.ru/sale/flat/151730016
149951011;1;вторичка;;не указано;не указано;Москва, Киевский пгт, 23Б;28.0;15;16;;2550000;Г.Москва, Троицкий АО, пос.Киевский, что в 40 км от мкада по скоростному Киевскому шоссе. От м.Саларьево  2030 минут езды на маршрутке 309 либо на автобусе 1002льготный проезд,карта Тройка.В продаже1я квартира студия находится на 15 м этаже 16ти этажного мк дома, общая площадь квартиры 27 м.кв, комнатакухня 16 м.кв, су совмещенный. Квартира менее 3х лет в собственности. 1 взрослый собственник.Свидетельство на руках.Быстрый выход на сделкуПрописка московская. Льготы. Карта москвича.На территории поселка Два детских садаОбщеобразовательная школа 1391ПоликлиникаТорговые центры Дом культуры, построенный в 2015 году Спортивный комплекс Локофитнес с тренажерами, спортивными секциями, бассейном.Боулинг ж, д станция Киевский и автобусная остановка на Киевском шоссе в шаговой доступности, до м.Тропарево 2030 минут езды, до м.ЮгоЗападная около 3540 минут езды.Агент Кальненкова Евгения Владимировна была на объекте и с легкостью ответит на все вопросы., 8 фото;16;На улицу;Совмещенный (1);2015;да;Да;https://www.cian.ru/sale/flat/149951011
156653438;1;новостройка;м.Пятницкоешоссе;30;транспортом;Москва, Зеленоград, Заречная улица, 23;26.9;3;18;Монолитный;2564352;Новостройка Продается 1комн. квра площадью 26,88 кв.м, Корпус 8, Секция 8  3 этаж 18этажного дома в Мкрн Жемчужина Зеленограда от ГК ПИК. Микрорайон Жемчужина Зеленограда  новый масштабный проект комплексной застройки на территории микрорайона 17. Зеленоградский административный округ  один из самых экологически чистых районов столицы общая площадь зеленых насаждений здесь составляет около 30. Рядом расположены два крупных лесничества  Крюковское и Сходненское, поэтому с юга и запада новый микрорайон окружен лесопарковой зоной, на его территории находятся три небольших пруда. Кроме того, Зеленоград называют Русской Кремниевой долиной  как научнопроизводственный центр российской электроники и микроэлектроники. Жемчужина Зеленограда возводится по новейшей концепции организации жилого пространства  она подразумевает не только строительство жилья повышенной комфортности с развитой инфраструктурой для учебы и отдыха, но и обеспечение жителей максимальным количеством рабочих мес ..., 9 фото;17.83;Во двор;Совмещенный (1);2018;да;;https://www.cian.ru/sale/flat/156653438
151730186;1;новостройка;м.Пятницкоешоссе;30;транспортом;Москва, Зеленоград, Заречная улица, 23;27.0;15;18;Монолитный;2645020;Новостройка Продается 1комн. квра площадью 26,99 кв.м, Корпус 8, Секция 7  15 этаж 18этажного дома в Мкрн Жемчужина Зеленограда от ГК ПИК. Микрорайон Жемчужина Зеленограда  новый масштабный проект комплексной застройки на территории микрорайона 17. Зеленоградский административный округ  один из самых экологически чистых районов столицы общая площадь зеленых насаждений здесь составляет около 30. Рядом расположены два крупных лесничества  Крюковское и Сходненское, поэтому с юга и запада новый микрорайон окружен лесопарковой зоной, на его территории находятся три небольших пруда. Кроме того, Зеленоград называют Русской Кремниевой долиной  как научнопроизводственный центр российской электроники и микроэлектроники. Жемчужина Зеленограда возводится по новейшей концепции организации жилого пространства  она подразумевает не только строительство жилья повышенной комфортности с развитой инфраструктурой для учебы и отдыха, но и обеспечение жителей максимальным количеством рабочих ме ..., 9 фото;11.54;Во двор;Совмещенный (1);2018;да;;https://www.cian.ru/sale/flat/151730186
156682759;1;вторичка;;не указано;не указано;Москва, Щаповское поселение, пос. Щапово, 10;31.0;2;2;Кирпичный;2700000;Продаётся 1я квартира новая Москва, Щапово, 10, прописка Москва. Квартира в жилом состоянии, без балкона. Экологически чистый район, развита инфраструктура, в шаговой доступности все что необходимо сады, школы, магазины, церкви, арганный зал, гребные леса, водоёмы для купания и рыбалки и т. д., шикарное место для постоянного проживания. 33 км от МКАД, от метро Тёплый Стан 40 мин на маршрутке, можно ездить от жд ст. Подольск, см. карту. 1взр. собственник, свободная продажа., 7 фото;18;Во двор;Совмещенный (1);;да;Нет;https://www.cian.ru/sale/flat/156682759
155624593;1;вторичка;м.Соколинаягора;18;пешком;Москва, улица Буракова, 1К1;13.0;4;5;;2700000;Малогабаритная квартирка, кирпичный дом, купля продажа более 10 лет, полная стоимость, 5 фото;9;Во двор;Совмещенный (1);;да;Да;https://www.cian.ru/sale/flat/155624593
151729862;1;новостройка;м.Пятницкоешоссе;30;транспортом;Москва, Зеленоград, Заречная улица, 23;29.2;10;18;Монолитный;2755446;Новостройка Продается 1комн. квра площадью 29,22 кв.м, Корпус 8, Секция 7  10 этаж 18этажного дома в Мкрн Жемчужина Зеленограда от ГК ПИК. Микрорайон Жемчужина Зеленограда  новый масштабный проект комплексной застройки на территории микрорайона 17. Зеленоградский административный округ  один из самых экологически чистых районов столицы общая площадь зеленых насаждений здесь составляет около 30. Рядом расположены два крупных лесничества  Крюковское и Сходненское, поэтому с юга и запада новый микрорайон окружен лесопарковой зоной, на его территории находятся три небольших пруда. Кроме того, Зеленоград называют Русской Кремниевой долиной  как научнопроизводственный центр российской электроники и микроэлектроники. Жемчужина Зеленограда возводится по новейшей концепции организации жилого пространства  она подразумевает не только строительство жилья повышенной комфортности с развитой инфраструктурой для учебы и отдыха, но и обеспечение жителей максимальным количеством рабочих ме ..., 9 фото;13.75;Во двор;Совмещенный (1);2018;да;;https://www.cian.ru/sale/flat/151729862
152289940;1;вторичка;м.Речнойвокзал;7;транспортом;Москва, Клинская улица, 4К2;12.7;3;9;Панельный;2784500;Однокомнатная квартира с высококачественным ремонтом в панельном девятиэтажном доме, в квартире размещена жилая зона, кухняниша, санузел укомплектован сантехническим оборудованием, предусмотрено место для стиральной машинки, стены санузла выложены керамической плиткой, выполнена разводка электричества по всей квартире, в максимально удобных местах установлены выключатели и точки электропитания, стены окрашены, на полу ламинат, металлическая входная дверь. Дом после реновации, выполнена перепланировка и ремонт помещений общего пользования, обустроен холл подъезда, заменены коммуникации. Зеленый тихий двор. Удобное расположение дома обжитой район Ховрино около метро Речной вокзал и метро Ховрино открытие в 2017 году и жд станции Ховрино Ленинградского направления, хорошая инфраструктура, близость к транспортным развязкам, в двух минутах ходьбы Грачевский парк, рядом Химкинский лесопарк и парк Дружбы, спортивные сооружения. Заселение в квартиру уже возможно. Московская регистрация по ..., 14 фото;8,6;Во двор;Совмещенный (1);1974;да;Да;https://www.cian.ru/sale/flat/152289940
156725873;1;новостройка;м.ТеплыйСтан;15;транспортом;Москва, пос. Коммунарка, 3;22.0;9;24;Монолитно-кирпичный;2831400;Продается 1комн. квра площадью 22 кв.м на 9 этаже 24 этажного  дома в ЖК Новая Звезда  от компании КРОСТ. Жилой комплекс Новая Звезда строится в поселке Газопровод поселения Сосенское Новомосковского округа города Москвы. Это новый проект, предусматривающий строительство многоэтажных монолитных жилых домов переменной этажности. Все фасады домов будут очень красиво оформлены и объединены в единую стройную композицию, как на звездной сцене. В домах применяется панорамное остекление, в результате в квартиры проникает большое количество света, что позволяет экономить на электроэнергии. Помимо жилых домов будут построены школа и детские сады, молочная кухня. Построят кафе, рестораны, фитнесцентры, появятся отделения связи и банков. Через поселок Газопровод проходят 2 автобусных маршрута, на которых можно доехать до станции метро Теплый Стан. В обозримом будущем планируется строительство новой линии метро, которая будет проходить через поселок Газопровод. Рядом с поселком Газопроовод на ..., 20 фото;Во двор;Совмещенный (1);2017;;да;;https://www.cian.ru/sale/flat/156725873
154645763;1;новостройка;м.ТеплыйСтан;15;транспортом;Москва, пос. Коммунарка, 4;24.3;4;21;Монолитно-кирпичный;2835810;Продается 1комн. квра площадью 24,3 кв.м на 4 этаже 21 этажного  дома в ЖК Новая Звезда  от компании КРОСТ. Жилой комплекс Новая Звезда строится в поселке Газопровод поселения Сосенское Новомосковского округа города Москвы. Это новый проект, предусматривающий строительство многоэтажных монолитных жилых домов переменной этажности. Все фасады домов будут очень красиво оформлены и объединены в единую стройную композицию, как на звездной сцене. В домах применяется панорамное остекление, в результате в квартиры проникает большое количество света, что позволяет экономить на электроэнергии. Помимо жилых домов будут построены школа и детские сады, молочная кухня. Построят кафе, рестораны, фитнесцентры, появятся отделения связи и банков. Через поселок Газопровод проходят 2 автобусных маршрута, на которых можно доехать до станции метро Теплый Стан. В обозримом будущем планируется строительство новой линии метро, которая будет проходить через поселок Газопровод. Рядом с поселком Газопроовод  ..., 21 фото;10;Во двор;Совмещенный (1);2018;да;;https://www.cian.ru/sale/flat/154645763
156599642;2;вторичка;м.ТеплыйСтан;25;транспортом;Москва, Вороновское поселение, д. Львово;44.5;2;2;Кирпичный;2850000;Самая низкая цена по г. Москве Новая Москва в кирпичном доме. Продаю 2х комнатную квартиру 44 кв.м. 16 кв.11 кв.м. кухня 8,5 кв.м., г. Москва, д. Львово московская прописка В собственности более 5ти лет, свободна юридически и физически, прямая продажа. Уникальным образом сочетается городской комфорт и яркие краски загородной жизни. В кирпичном 2х этажном доме с одной парадной на восемь семей. Второй этаж, комнаты смежные, санузел раздельный. Городские, центральные коммуникации, газ, электричество, вода и канализация. Проход, проезд на территорию жилого массива состоящий из 3х одно подъездных жилых домов на 30 семей строго через контрольнопропускной пункт. Наша Квартира  Дача имеет придомовой земельный участок, для жителей города, прежде всего хорошее, удобное место для занятий садоводством выращивания цветов, картофеля, клубники, яблок. В свое время был выстроен подвал и уличная кладовая Подарок к Квартире  Даче. Есть отдельно от квартиры личный земельный участок в 1 ..., 17 фото;16+11;Во двор;Раздельный (1);;да;Нет;https://www.cian.ru/sale/flat/156599642
154644487;1;новостройка;м.ТеплыйСтан;15;транспортом;Москва, пос. Коммунарка, 4;24.2;6;21;Монолитно-кирпичный;2872540;Продается 1комн. квра площадью 24,2 кв.м на 6 этаже 21 этажного  дома в ЖК Новая Звезда  от компании КРОСТ. Жилой комплекс Новая Звезда строится в поселке Газопровод поселения Сосенское Новомосковского округа города Москвы. Это новый проект, предусматривающий строительство многоэтажных монолитных жилых домов переменной этажности. Все фасады домов будут очень красиво оформлены и объединены в единую стройную композицию, как на звездной сцене. В домах применяется панорамное остекление, в результате в квартиры проникает большое количество света, что позволяет экономить на электроэнергии. Помимо жилых домов будут построены школа и детские сады, молочная кухня. Построят кафе, рестораны, фитнесцентры, появятся отделения связи и банков. Через поселок Газопровод проходят 2 автобусных маршрута, на которых можно доехать до станции метро Теплый Стан. В обозримом будущем планируется строительство новой линии метро, которая будет проходить через поселок Газопровод. Рядом с поселком Газопроовод  ..., 21 фото;12.3;Во двор;Совмещенный (1);2018;да;;https://www.cian.ru/sale/flat/154644487
153897053;1;новостройка;м.Бунинскаяаллея;5;транспортом;Москва, Сосенское поселение, улица Александры Монаховой, 5к1;23.3;2;18;Монолитный;2893860;Новостройка Продается 1комн. квра площадью 23,3 кв.м, Корпус 1.71, Секция 5  2 этаж 18этажного дома в ЖК Бунинские луга от ГК ПИК. Жилой район Бунинские луга расположен в новой Москве, в 1 км от метро Бунинская аллея. Его окружает сразу несколько обустроенных парков и прудов. Строительство района подразумевает поэтапное возведение современных жилых домов и всей инфраструктуры. Первая очередь строительства уже завершена. Открыли свои двери детский сад и школа. Всего в рамках проекта будет построено 4 школы, 5 детских садов, а также поликлиники, физкультурнооздоровительный центр и многое другое. Неподалёку находятся ТРЦ Мега, гипермаркеты Ашан, , магазин . 25.04, 28 фото;11.2;Во двор;Совмещенный (1);2018;да;;https://www.cian.ru/sale/flat/153897053
155578674;1;новостройка;м.ТеплыйСтан;15;транспортом;Москва, пос. Коммунарка, 4;24.7;4;21;Монолитно-кирпичный;2961530;Продается 1комн. квра площадью 24,7 кв.м на 4 этаже 21 этажного  дома в ЖК Новая Звезда  от компании КРОСТ. Жилой комплекс Новая Звезда строится в поселке Газопровод поселения Сосенское Новомосковского округа города Москвы. Это новый проект, предусматривающий строительство многоэтажных монолитных жилых домов переменной этажности. Все фасады домов будут очень красиво оформлены и объединены в единую стройную композицию, как на звездной сцене. В домах применяется панорамное остекление, в результате в квартиры проникает большое количество света, что позволяет экономить на электроэнергии. Помимо жилых домов будут построены школа и детские сады, молочная кухня. Построят кафе, рестораны, фитнесцентры, появятся отделения связи и банков. Через поселок Газопровод проходят 2 автобусных маршрута, на которых можно доехать до станции метро Теплый Стан. В обозримом будущем планируется строительство новой линии метро, которая будет проходить через поселок Газопровод. Рядом с поселком Газопроовод  ..., 21 фото;11.7;Во двор;Совмещенный (1);2018;да;;https://www.cian.ru/sale/flat/155578674
